Recipe Name,Ingredient,Price (USD),2 Portions,4 Portions
Creamy Veggie Pasta,Rigatoni,,170g,340g
Creamy Veggie Pasta,Shallot,,50g,100g
Creamy Veggie Pasta,Broccoli,,227g,454g
Creamy Veggie Pasta,Cream,,56ml,113ml
Creamy Veggie Pasta,Parmesan Cheese,,1/4 cup,1/2 cup
Creamy Veggie Pasta,Garlic,,2,4
Creamy Veggie Pasta,Baby Tomatoes,,113g,227g
Creamy Veggie Pasta,Italian Herb Spice Blend,,1 tbsp,2 tbsp
Creamy Veggie Pasta,Cream Sauce Spice Blend,,160g,320g
Creamy Veggie Pasta,Bell Pepper,,160g,320g
Creamy Veggie Pasta,Vegetable Stock Powder,,1/2 tbsp,1 tbsp
Bunless Turkey Burgers,Ground Turkey,,250g,500g
Bunless Turkey Burgers,Italian Herb Spice Blend,,1 tbsp,2 tbsp
Bunless Turkey Burgers,Balsamic Vinegar,,1 tbsp,2 tbsp
Bunless Turkey Burgers,Roma Tomato,,190g,380g
Bunless Turkey Burgers,Red Onion,,56g,113g
Bunless Turkey Burgers,Baby Spinach,,113g,227g
Bunless Turkey Burgers,Parmesan Cheese,,1/4 cup,1/2 cup
Bunless Turkey Burgers,Basil Pesto,,1/4 cup,1/2 cup
Bunless Turkey Burgers,Garlic Breadcrumb Spice Blend,,2 tbsp,4 tbsp
Sausage Linguine,Italian Sausage,,250g,500g
Sausage Linguine,Linguine,,170g,340g
Sausage Linguine,Baby Tomatoes,,113g,227g
Sausage Linguine,Italian Herb Spice Blend,,1 tbsp,2 tbsp
Sausage Linguine,Zucchini,,1,2
Sausage Linguine,Parmesan Cheese,,1/4 cup,1/2 cup
Sausage Linguine,Crushed Tomatoes,,200ml,400ml
Sausage Linguine,Garlic,,2,4
Pork Meatball Sandwiches,Ground Pork,,250g,500g
Pork Meatball Sandwiches,Artisan Bun,,2,4
Pork Meatball Sandwiches,Mayonnaise,,2 tbsp,4 tbsp
Pork Meatball Sandwiches,Basil Pesto,,1/4 cup,1/4 cup
Pork Meatball Sandwiches,Yellow Potato,,300g,600g
Pork Meatball Sandwiches,Marinara Sauce,,132g,265g
Pork Meatball Sandwiches,Monterey Jack Cheese,,1/2 cup,1 cup
Pork Meatball Sandwiches,Garlic Breadcrumb Spice Blend,,2 tbsp,4 tbsp
Tuscan-Inspired Roasted Veggie Paninis,Sandwich Bun,,2,4
Tuscan-Inspired Roasted Veggie Paninis,Red Onion,,113g,226g
Tuscan-Inspired Roasted Veggie Paninis,Bell Pepper,,160g,320g
Tuscan-Inspired Roasted Veggie Paninis,Sun-Dried Tomato Pesto,,1/4 cup,1/2 cup
Tuscan-Inspired Roasted Veggie Paninis,Mixed Olives,,30g,60g
Tuscan-Inspired Roasted Veggie Paninis,Mozzarella Cheese,,3/4 cup,1 1/2 cup
Tuscan-Inspired Roasted Veggie Paninis,Italian Dressing,,2 tbsp,4 tbsp
Tuscan-Inspired Roasted Veggie Paninis,Baby Spinach,,56g,113g
Middle Eastern-Spiced Turkey Stew,Ground Turkey,,250g,500g
Middle Eastern-Spiced Turkey Stew,Middle Eastern Spice Blend,,1 tbsp,2 tbsp
Middle Eastern-Spiced Turkey Stew,Couscous,,1/2 cup,1 cup
Middle Eastern-Spiced Turkey Stew,Garlic,,3,6
Middle Eastern-Spiced Turkey Stew,Zucchini,,200g,400g
Middle Eastern-Spiced Turkey Stew,Carrot,,170g,340g
Middle Eastern-Spiced Turkey Stew,Sour Cream,,3 tbsp,6 tbsp
Middle Eastern-Spiced Turkey Stew,Crushed Tomatoes,,200ml,398ml
Middle Eastern-Spiced Turkey Stew,Chicken Stock Powder,,1 tbsp,2 tbsp
Middle Eastern-Spiced Turkey Stew,Almonds,,28g,28g
Spanish-Inspired Black Bean & Chorizo Stew,Italian Sausage,,250g,500g
Spanish-Inspired Black Bean & Chorizo Stew,Black Beans,,398ml,796ml
Spanish-Inspired Black Bean & Chorizo Stew,Crushed Tomatoes,,200ml,398ml
Spanish-Inspired Black Bean & Chorizo Stew,Spanish Spice Blend,,1 tbsp,2 tbsp
Spanish-Inspired Black Bean & Chorizo Stew,Yellow Onion,,56g,113g
Spanish-Inspired Black Bean & Chorizo Stew,Yellow Potato,,300g,600g
Spanish-Inspired Black Bean & Chorizo Stew,Mayonnaise,,2 tbsp,4 tbsp
Spanish-Inspired Black Bean & Chorizo Stew,Garlic,,2,4
Spanish-Inspired Black Bean & Chorizo Stew,Chicken Stock Powder,,1 tbsp,2 tbsp
Loaded Beef Burrito Bowls,Ground Beef,,227g,454g
Loaded Beef Burrito Bowls,Basmati Rice,,3/4 cup,1 1/2 cup
Loaded Beef Burrito Bowls,Red Onion,,56g,113g
Loaded Beef Burrito Bowls,Roma Tomato,,95g,190g
Loaded Beef Burrito Bowls,Tomato Sauce Base,,2 tbsp,4 tbsp
Loaded Beef Burrito Bowls,Jalapeno,,1,2
Loaded Beef Burrito Bowls,Monterey Jack Cheese,,1/2 cup,1 cup
Loaded Beef Burrito Bowls,Chili-Cumin Spice Blend,,1 tbsp,2 tbsp
Loaded Beef Burrito Bowls,Sour Cream,,3 tbsp,6 tbsp
Curry Yogurt Chicken,Chicken Thighs,,285g,570g
Curry Yogurt Chicken,Basmati Rice,,3/4 cup,1 1/2 cup
Curry Yogurt Chicken,Greek Yogurt,,100ml,200ml
Curry Yogurt Chicken,Yellow Onion,,56g,113g
Curry Yogurt Chicken,Baby Spinach,,28g,56g
Curry Yogurt Chicken,Curry Spice Blend,,1 tbsp,2 tbsp
Curry Yogurt Chicken,Garlic,,2,4
Curry Yogurt Chicken,Chicken Stock Powder,,1 tbsp,2 tbsp
Fully Loaded Taco Salad,Italian Sausage,,250g,500g
Fully Loaded Taco Salad,Tortilla Chips,,85g,170g
Fully Loaded Taco Salad,Baby Spinach,,113g,227g
Fully Loaded Taco Salad,Sweet Potato,,170g,340g
Fully Loaded Taco Salad,Chili-Cumin Spice Blend,,1 tbsp,2 tbsp
Fully Loaded Taco Salad,Roma Tomato,,95g,190g
Fully Loaded Taco Salad,Sour Cream,,3 tbsp,6 tbsp
Fully Loaded Taco Salad,Ranch Dressing,,2 tbsp,4 tbsp
Fully Loaded Taco Salad,Cheddar Cheese,,1/4 cup,1/2 cup
Tex-Mex Beef Pasta,Ground Beef,,227g,454g
Tex-Mex Beef Pasta,Penne,,170g,340g
Tex-Mex Beef Pasta,Cream,,56ml,113ml
Tex-Mex Beef Pasta,Cheddar Cheese,,1/4 cup,1/2 cup
Tex-Mex Beef Pasta,Bell Pepper,,160g,320g
Tex-Mex Beef Pasta,Yellow Onion,,113g,113g
Tex-Mex Beef Pasta,Tex-Mex Paste,,2 tbsp,4 tbsp
Tex-Mex Beef Pasta,Tomato Sauce Base,,2 tbsp,4 tbsp
Maple-Chili Glazed Chicken,Chicken Thighs,,285g,570g
Maple-Chili Glazed Chicken,Yellow Potato,,300g,600g
Maple-Chili Glazed Chicken,Maple Syrup,,2 tbsp,4 tbsp
Maple-Chili Glazed Chicken,Chili Flakes,,1/4 tsp,1/2 tsp
Maple-Chili Glazed Chicken,Smoky Spice Blend,,1 tbsp,2 tbsp
Maple-Chili Glazed Chicken,Chicken Stock Powder,,1,2
Maple-Chili Glazed Chicken,Carrot,,170g,340g
Maple-Chili Glazed Chicken,Garlic Salt,,1 tsp,2 tsp
Maple-Chili Glazed Chicken,Yellow Onion,,113g,226g